순위,기업명,종목코드,2024년 매출(억원),섹터(추정),채용규모(추정),채용형태(추정),IT/전산직 채용 및 주요 직무,비고 및 특이사항,직원수(공시),"평균연봉(대표,만원)",평균연봉_출처
245,한일홀딩스,003300,22487,기타,소규모,,시멘트/제조 IT 전략 및 보안 관리,채용 규모/특징: 소수 (지주사). 그룹사 전산 표준화 및 인프라 기획,23,9257,dart
246,해성산업,034810,22204,기타,극소수,,그룹 IT 전략 및 일반 전산 지원,채용 규모/특징: 극소수. 지주사 성격. 계열사 전산 지원 역할,25,8112,dart
247,한솔제지,213500,22158,제조·모빌리티,중간,혼합,"제지 제조 전산, ERP 운영, 인프라 보안",채용 규모/특징: 정기 공채/수시. 한솔그룹 핵심 제조 전산 운영,1685,7553,dart
248,OCI,456040,22153,기타,중간,혼합,"화학 제조 IT, 글로벌 전산망 관리",채용 규모/특징: 수시/정기 공채. 인적분할 이후 자체 전산 시스템 고도화 중,3220,4826,dart
249,녹십자홀딩스,005250,22049,기타,소규모,,그룹 IT 전략 및 제약 전산 가이드,채용 규모/특징: 소수 (지주사). 실제 IT는 GC 계열사 및 IT팀에서 수행,155,10533,dart
250,컬리,,21956,기타,,수시,"이커머스 운영, 물류 IT 인프라, 보안",채용 규모/특징: 수시 채용 활발. 전산/인프라/네트워크 실무직 상시 채용,,8000,research
251,매일홀딩스,005990,21902,기타,소규모,,그룹 IT 전략 및 유통 전산 기획,채용 규모/특징: 소수 (지주사). 매일유업 등 계열사 전산 거버넌스 관리,42,9912,dart
252,두산건설,011160,21753,건설·엔지니어링,,수시,"건설 ERP 운영, 본사 전산 인프라 지원",채용 규모/특징: 수시 채용. 건설 전산 시스템 유지보수 업무,1229,7834,dart
253,도이치모터스,067990,21684,유통·물류,소규모,,"유통 전산 시스템 운영, ERP 관리",채용 규모/특징: 소수. 수입차 유통 및 서비스 센터 전산 지원,1313,4692,dart
254,코스맥스,192820,21661,제조·모빌리티,,수시,"화장품 제조 전산, ERP 운영, 보안",채용 규모/특징: 수시 채용. 글로벌 생산 거점 전산 연동 관리,1528,7841,dart
255,동국씨엠,460850,21638,기타,,수시,"제철 공정 전산, 전산 인프라 보안",채용 규모/특징: 수시 채용. 동국제강에서 분할된 컬러강판 전문 IT,1475,8101,dart
256,이마트24,,21631,유통·물류,중간,혼합,"편의점 전산 시스템, 인프라 보안",채용 규모/특징: 수시/정기 공채. 유통 점포망 및 결제 전산 지원,,6000,research
257,SK실트론,,21268,제조·모빌리티,중간,혼합,"웨이퍼 제조 IT, 스마트 팩토리, 보안",채용 규모/특징: 수시/정기 공채. 반도체 소재 특화 고도화 전산 환경,,10000,research
258,태광산업,003240,21219,제조·모빌리티,소규모,,"섬유/석유화학 전산, 일반 전산 지원",채용 규모/특징: 소수. 보수적이지만 매우 안정적인 제조 전산,796,9096,dart
259,이노션,214320,21206,기타,중간,혼합,"마케팅 데이터 인프라, 전산 보안",채용 규모/특징: 수시/정기 공채. 현대차 계열 광고 대행사 IT 인프라 관리,946,9363,dart
260,유한양행,000100,20678,바이오·헬스,중간,혼합,"제약 전산 시스템, ERP 운영, 보안","채용 규모/특징: 정기 공채/수시. 안정성 최상, 제약 전산 인프라 관리",2117,9634,dart
261,세방전지,004490,20595,제조·모빌리티,소규모,,"제조 공정 IT, 일반 전산 유지보수",채용 규모/특징: 소수. 로케트 배터리 제조 기반 전산 지원,1295,9743,dart
262,아이엠증권,,20576,금융,중간,혼합,"증권 전산 운영, 트레이딩 보안",채용 규모/특징: 수시/정기 공채. (구 하이투자증권) DGB금융 계열 전산,,10000,research
263,에스에프에이,056190,20454,제조·모빌리티,,수시,"자동화 설비 전산, 스마트 팩토리 SW",채용 규모/특징: 수시 채용. 디스플레이/반도체 설비 전산 인프라,762,7421,dart
264,세아베스틸,,20249,제조·모빌리티,중간,혼합,"특수강 공정 전산, 전산 보안, 인프라",채용 규모/특징: 수시/정기 공채. 공장 현장 중심의 실무 전산직 수요,,9000,research
265,아세아,002030,20074,기타,극소수,,그룹 IT 전략 및 제조 전산 지원,채용 규모/특징: 극소수. 지주사. 시멘트/제지 계열 전산 기획,10,10985,dart
266,에스케이쉴더스,,20047,기타,,수시,"보안 관제, IT 인프라, 전산 운영",채용 규모/특징: 수시 채용 활발. 물리/정보보안 융합 IT 실무 중심,,7000,research
267,동국홀딩스,001230,19994,기타,극소수,,그룹 IT 전략 및 거버넌스 관리,채용 규모/특징: 극소수. 지주사 성격. 계열사 전산 정책 수립,41,9029,dart
268,CJ CGV,079160,19579,기타,,수시,"극장 시스템 운영, 전산 인프라 보안",채용 규모/특징: 수시 채용. 티켓팅 및 멀티플렉스 통합 전산망 관리,4313,1359,dart
269,LF,093050,19563,기타,중간,혼합,"패션 유통 IT, 이커머스 운영, 보안",채용 규모/특징: 수시/정기 공채. 라이프스타일 브랜드 통합 전산망 운영,963,8097,dart
270,비바리퍼블리카,,19556,기타,대규모,수시,"핀테크 인프라 운영, 전산 보안, 엔지니어링",채용 규모/특징: 대규모 수시 채용. 토스(Toss). 컴공 전공자 선호도 최상,,10000,research
271,대웅,003090,19369,바이오·헬스,소규모,,그룹 IT 전략 및 제약 전산 감사,채용 규모/특징: 소수 (지주사). 대웅제약 등 계열사 IT 거버넌스,349,7481,dart
272,제주항공,089590,19358,기타,,수시,"항공 전산 시스템, 예약 인프라 보안",채용 규모/특징: 수시 채용. LCC 특화 항공 IT 운영 및 유지보수,3205,6883,dart
273,LS네트웍스,000680,19338,유통·물류,소규모,,"유통 전산 시스템 운영, ERP 관리",채용 규모/특징: 소수. 프로스펙스 등 브랜드 유통 전산 지원,192,5982,dart
274,이수화학,005950,19162,제조·모빌리티,소규모,수시,"화학 공정 IT, 전산 보안 및 인프라",채용 규모/특징: 소수 수시 채용. 제조업 기반의 안정적인 전산직 운영,307,9368,dart
275,금호건설,002990,19142,건설·엔지니어링,중간,혼합,"건설 ERP 운영, 본사 전산 인프라",채용 규모/특징: 수시/정기 공채. 현장 네트워크 지원 및 본사 IT 관리,1237,7877,dart
276,한샘,009240,19084,유통·물류,대규모,수시,"홈 인테리어 유통 IT, ERP 운영, 보안",채용 규모/특징: 수시 채용. 대규모 대리점망 및 물류 전산 지원,2041,5703,dart
277,엘앤에프,066970,19075,제조·모빌리티,,수시,"이차전지 소재 제조 IT, 전산 인프라",채용 규모/특징: 수시 채용 활발. 대구 기반 급성장 제조 전산직 수요,1643,5542,dart
278,SK스퀘어,402340,19066,기타,극소수,,"투자 포트폴리오 IT 가치 평가, 전략",채용 규모/특징: 극소수. 투자 전문 회사로 IT 전략 기획 위주,88,28789,dart
279,케이씨씨글라스,344820,19033,기타,,수시,"제조 전산 인프라 운영, ERP 유지보수",채용 규모/특징: 수시 채용. KCC에서 분할된 유리/인테리어 전산직,1966,7184,dart
280,F&F 홀딩스,007700,18983,기타,소규모,,그룹 IT 전략 및 패션 전산 기획,채용 규모/특징: 소수 (지주사). 계열사 전산 인프라 통합 관리,8,9663,dart
281,F&F,383220,18960,기타,,수시,"글로벌 패션 전산 운영, 이커머스 인프라","채용 규모/특징: 수시 채용. 디스커버리, MLB 등 글로벌 전산망 관리",679,7715,dart
282,HJ중공업,097230,18860,제조·모빌리티,,수시,"조선/건설 공정 전산, 전산 보안",채용 규모/특징: 수시 채용. 구 한진중공업. 인프라 운영 및 지원,2069,8032,dart
283,디와이덕양,024900,18833,에너지,소규모,,"수소/가스 제조 IT, 일반 전산 지원",채용 규모/특징: 소수. 울산 기반 가스 제조 전산 유지보수,877,9195,dart
284,현대리바트,079430,18707,유통·물류,,수시,"가구 유통 IT 시스템, 전산 인프라 관리",채용 규모/특징: 수시 채용. 현대백화점 그룹 계열 가구 전산 지원,828,6731,dart
285,화승인더스트리,006060,18677,제조·모빌리티,소규모,,"글로벌 제조 IT 인프라, ERP 운영",채용 규모/특징: 소수. 베트남 등 해외 공장 전산 연동 관리,34,6782,dart
286,LX세미콘,108320,18656,기타,중간,혼합,"반도체 설계 IT 인프라, 보안, 서버 관리",채용 규모/특징: 수시/정기 공채. 팹리스 기반 고도의 IT 인프라 운영,1460,10334,dart
287,KCC건설,021320,18270,건설·엔지니어링,,수시,"건설 현장 전산, 본사 IT 시스템 운영",채용 규모/특징: 수시 채용. 전통적인 건설 전산 업무 수행,1133,7054,dart
288,SNT홀딩스,036530,18205,기타,극소수,,그룹 IT 전략 및 방산/제조 전산 기획,채용 규모/특징: 극소수. 지주사 성격. 계열사 전산 보안 관리,10,13500,dart
289,SJG세종,033530,18166,제조·모빌리티,소규모,,"자동차 부품 제조 IT, ERP 운영",채용 규모/특징: 소수. 세종공업 기반 자동차 부품 전산 지원,616,10032,dart
290,매일유업,267980,18114,기타,중간,혼합,"식품 제조/유통 IT 시스템, 보안, ERP",채용 규모/특징: 수시/정기 공채. 안정적인 소비재 전산 운영 직무,1955,7834,dart
291,세아제강,306200,18094,제조·모빌리티,,수시,"강관 제조 전산, 전산 인프라 보안",채용 규모/특징: 수시 채용. 철강 제조업 특화 전산 유지보수,796,8697,dart
292,일진홀딩스,015860,18000,기타,극소수,,그룹 IT 전략 및 제조 전산 가이드,채용 규모/특징: 극소수. 일진그룹 지주사. 계열사 전산 거버넌스,19,9942,dart
293,한세실업,105630,17978,기타,,수시,"글로벌 의류 OEM 전산, 해외 인프라",채용 규모/특징: 수시 채용. 해외 법인 비중이 높은 전산 운영직,443,7740,dart
294,현대차증권,001500,17956,금융,중간,혼합,"증권 전산 운영, 트레이딩 시스템 관리",채용 규모/특징: 수시/정기 공채. 현대차그룹 계열 금융 전산의 안정성,898,11689,dart
295,경동도시가스,267290,17919,에너지,소규모,수시,"도시가스 IT 운영, 전산 보안, 인프라",채용 규모/특징: 소수 수시 채용. 울산 기반 에너지 기업의 안정적 전산,297,9996,dart
296,엠에스오토텍,123040,17775,제조·모빌리티,소규모,,"자동차 부품 전산, 스마트 팩토리 기획",채용 규모/특징: 소수. 명신 계열의 자동차 제조 IT 지원,16,12412,dart
297,우리금융캐피탈,033660,17590,금융,,수시,"금융 IT 시스템 운영, 인프라 보안",채용 규모/특징: 수시 채용. 우리금융그룹 계열 여신 전산 관리,545,9398,dart
298,파주에너지서비스,,17570,에너지,극소수,,"발전소 IT 운영, 일반 전산 지원",채용 규모/특징: 극소수. SK E&S 계열의 안정적 전산직,,11000,research
299,비에이치,090460,17544,제조·모빌리티,,수시,"PCB 제조 IT, 전산 인프라 보안",채용 규모/특징: 수시 채용. 애플 공급망 기반 제조 전산 운영,1414,4955,dart
300,대한해운,005880,17472,기타,소규모,,"해운 전산 시스템, 선박 IT 인프라 지원",채용 규모/특징: 소수. SM그룹 계열 해운 전산 관리 업무,196,8724,dart
301,HD현대마린솔루션,443060,17455,기타,소규모,수시,"선박 AS 전산 시스템, 데이터 분석, 인프라",채용 규모/특징: 소수 수시 채용. 상장 이후 IT 조직 및 데이터 기반 서비스 강화 중,537,13219,dart
302,한일시멘트,300720,17417,제조·모빌리티,소규모,혼합,"전산 시스템 운영, 보안, ERP 관리",채용 규모/특징: 소수 정기/수시. 안정적인 제조업 전산 유지보수 업무,683,9330,dart
303,고려제강,002240,17396,제조·모빌리티,소규모,수시,"제조 공정 IT, 일반 전산 지원, 보안",채용 규모/특징: 소수 수시 채용. 전통 제조업 기반의 안정적인 전산 환경,835,6670,dart
304,SK케미칼,285130,17368,기타,중간,혼합,"석유화학/바이오 IT 인프라, 전산 보안, ERP","채용 규모/특징: 수시/공채. 판교 본사 위주 근무, IT 기획 및 운영 비중 높음",1466,8520,dart
305,삼양식품,003230,17280,기타,중간,혼합,"식품 유통 전산, 해외 법인 인프라, 보안",채용 규모/특징: 수시/정기 공채. 불닭볶음면 글로벌 흥행으로 인한 해외 IT망 확장,2390,5424,dart
306,가온전선,000500,17271,제조·모빌리티,소규모,,"제조 인프라 전산 운영, 일반 전산 지원",채용 규모/특징: 소수. LS 계열사로 안정적인 제조업 전산직,484,7288,dart
307,SKC,011790,17216,기타,,수시,"소재 제조 IT 전략, 전산 보안, 인프라 운영",채용 규모/특징: 수시 채용. SK그룹 계열의 높은 처우 및 DX 추진 인력 필요,178,12804,dart
308,화신,010690,17123,제조·모빌리티,,수시,"자동차 부품 전산, 스마트 팩토리, ERP",채용 규모/특징: 수시 채용. 경북 지역 기반 자동차 부품사 전산 지원,1028,8184,dart
309,서울도시가스,017390,17038,에너지,소규모,,"에너지 관리 전산, 보안, 모바일 앱 인프라","채용 규모/특징: 소수. 안정성 최상, 가스 요금 및 검침 시스템 운영",510,11531,dart
310,쌍용씨앤이,003410,16957,제조·모빌리티,,수시,"시멘트 공정 전산, 전산 인프라 보안",채용 규모/특징: 수시 채용. 구 쌍용양회. 제조업 기반의 전형적 전산직,1157,9546,dart
311,동부건설,005960,16884,건설·엔지니어링,소규모,수시,"건설 ERP 운영, 본사/현장 전산 지원",채용 규모/특징: 소수 수시 채용. 건설 현장 네트워크 및 시스템 유지보수,1138,7736,dart
312,선진,136490,16814,유통·물류,소규모,,"축산 유통 전산, SCM 시스템 운영",채용 규모/특징: 소수. 하림 계열의 스마트 축산 IT 인프라 관리,434,6204,dart
313,녹십자,006280,16799,바이오·헬스,중간,혼합,"제약 전산 시스템, ERP 운영, 정보보안",채용 규모/특징: 수시/정기 공채. 제약 인프라 특화 전산직(CSV 등) 수요 존재,2355,7263,dart
314,롯데정밀화학,004000,16705,제조·모빌리티,,수시,"화학 공정 IT, 전산 인프라 보안, ERP",채용 규모/특징: 수시 채용. 울산 기반 고연봉 정밀화학 전산 운영직,958,11051,dart
315,LS증권,078020,16537,금융,중간,혼합,"증권 IT 시스템 운영, 트레이딩 보안",채용 규모/특징: 수시/정기 공채. (구 이베스트투자증권) LS그룹 편입 후 IT 투자 확대,567,11534,dart
316,유진증권,001200,16526,금융,중간,혼합,"증권 전산 운영, 리스크 관리 시스템",채용 규모/특징: 수시/정기 공채. 보수적이지만 탄탄한 금융 전산 직무,811,11672,dart
317,지에스이피에스,,16433,에너지,소규모,,"에너지 발전 전산, 전산 보안, 인프라","채용 규모/특징: 소수. 발전소 기반 고연봉, 소수 정예 전산 조직",,12000,research
318,애경케미칼,161000,16422,제조·모빌리티,소규모,수시,"화학 제조 IT, ERP 운영, 전산 보안",채용 규모/특징: 소수 수시 채용. 제조업 기반의 안정적인 IT 인프라 지원,740,7307,dart
319,광동제약,009290,16407,바이오·헬스,,수시,"제약/유통 전산 시스템, 일반 전산 지원",채용 규모/특징: 수시 채용. 영업 지원 및 사내 전산 시스템 유지보수,1072,7354,dart
320,에이치엘클레무브,,16306,제조·모빌리티,,수시,"자율주행 SW 인프라, 제조 전산 보안",채용 규모/특징: 수시 채용 활발. 기술 중심 부품사로 IT/인프라 인력 중요도 높음,,9000,research
321,화승엔터프라이즈,241590,16096,기타,소규모,,"글로벌 제조 IT 인프라, ERP 운영",채용 규모/특징: 소수. 해외 법인(베트남 등) 연동 전산망 관리,5,5300,dart
322,솔루엠,248070,15944,기타,,수시,"전자부품 전산 인프라, ESL 시스템 관리",채용 규모/특징: 수시 채용. 전산 지원 및 서버 인프라 관리 중심,468,7757,dart
323,엔브이에이치코리아,067570,15874,제조·모빌리티,극소수,,"자동차 부품 제조 전산, 일반 전산 지원",채용 규모/특징: 극소수. 울산 기반 중견 부품사 전산 유지보수,288,8492,dart
324,종근당,185750,15864,바이오·헬스,중간,혼합,"제약 전산 시스템, ERP 운영, 보안",채용 규모/특징: 정기 공채/수시. 안정적인 업무 환경의 제약 전산직,2336,8177,dart
325,HL D&I,014790,15788,건설·엔지니어링,,수시,"건설 전산 인프라, 본사 ERP 운영",채용 규모/특징: 수시 채용. (구 한라) 건설 현장 및 사내 전산 지원,1152,8371,dart
326,자이에스앤디,317400,15782,건설·엔지니어링,,수시,"스마트 홈 IT 시스템 운영, 보안",채용 규모/특징: 수시 채용. GS건설 계열의 빌딩/주택 전산 관리,1849,4276,dart
327,엔씨소프트,036570,15781,IT·플랫폼,대규모,혼합,"게임 인프라 운영, 전산 보안, 플랫폼",채용 규모/특징: 대규모 수시/공채. 테크 리더 기업으로 전산/보안 직군 대우 우수,3832,10797,dart
328,일진전기,103590,15772,제조·모빌리티,소규모,수시,"전력 기기 제조 IT, 전산 인프라 운영",채용 규모/특징: 소수 수시 채용. 제조업 기반의 안정적인 전산실 업무,1011,5390,dart
329,팜스코,036580,15746,유통·물류,소규모,수시,"사료/유통 전산 시스템, ERP 관리",채용 규모/특징: 소수 수시 채용. 하림 계열의 유통 전산 및 인프라 지원,500,7026,dart
330,명신산업,009900,15738,제조·모빌리티,소규모,,"자동차 차체 제조 전산, 스마트 팩토리",채용 규모/특징: 소수. 테슬라 공급망 기반의 제조 전산 환경,151,8089,dart
331,삼보모터스,053700,15706,제조·모빌리티,극소수,,"자동차 부품 제조 전산, 일반 전산 지원",채용 규모/특징: 극소수. 대구 기반 부품사 전산 유지보수 업무,808,4930,dart
332,한국무브넥스,010100,15674,기타,소규모,,자동차 부품 전산 시스템 운영,채용 규모/특징: 소수. (구 한국프랜지) 일반적인 전산 관리직,508,11055,dart
333,한전KPS,051600,15571,공공,중간,정기,"발전소 ICT 설비 유지보수, 보안, 전산",채용 규모/특징: 정기 공채. 공기업 전산/통신직. 전국 발전소 순환 근무,6579,8204,dart
334,에스케이렌터카,068400,15565,기타,,수시,"렌탈 전산 플랫폼 운영, 인프라 보안",채용 규모/특징: 수시 채용. 모빌리티 서비스 기반 전산 시스템 운영,636,9695,dart
335,티웨이항공,091810,15368,기타,,수시,"항공 전산 시스템, 예약 인프라 보안",채용 규모/특징: 수시 채용. LCC 성장에 따른 항공 IT 인력 상시 필요,3805,6483,dart
336,GS파워,,15353,에너지,소규모,수시,"발전/집단에너지 전산, 보안, 인프라",채용 규모/특징: 소수 수시 채용. 안양/부천 기반 고연봉 에너지 전산직,,11000,research
337,신세계푸드,031440,15348,유통·물류,중간,혼합,"식품 제조/유통 전산, SCM 시스템 운영",채용 규모/특징: 수시/정기 공채. 신세계 계열 유통망 연동 전산 지원,3393,5251,dart
338,남해화학,025860,15191,제조·모빌리티,소규모,,"비료 공정 전산, 전산 인프라 보안",채용 규모/특징: 소수. 농협 계열사로 매우 안정적인 전산 환경,629,8597,dart
339,아이에스동서,010780,15146,건설·엔지니어링,,수시,"건설/제조 ERP 운영, 전산 보안",채용 규모/특징: 수시 채용. 본사 및 건설 현장 IT 인프라 관리,515,8211,dart
340,한국단자공업,025540,15098,제조·모빌리티,소규모,,"전자/자동차 부품 제조 전산, 보안",채용 규모/특징: 소수. 커넥터 제조 기반의 탄탄한 전산 시스템,1160,7393,dart
341,신성통상,005390,15079,유통·물류,,수시,"패션 유통 전산(탑텐 등), ERP 운영",채용 규모/특징: 수시 채용. 유통/물류 중심 전산 시스템 관리,1105,5220,dart
342,세아창원특수강,,14966,제조·모빌리티,,수시,"제강 공정 전산, 전산 인프라 보안",채용 규모/특징: 수시 채용. 세아그룹 계열 창원 공장 전산 지원,,9000,research
343,한미약품,128940,14955,바이오·헬스,중간,혼합,"제약 IT 플랫폼, 전산 보안, ERP 운영",채용 규모/특징: 수시/정기 공채. 제약 업계 내 IT 기술 투자가 활발한 편,2388,7864,dart
344,한신공영,004960,14904,건설·엔지니어링,소규모,,"건설 ERP 운영, 본사 전산 인프라 지원",채용 규모/특징: 소수. 전형적인 건설업계 전산 유지보수 업무,909,7833,dart
345,파트론,091700,14864,제조·모빌리티,극소수,,"전자부품 제조 전산, 일반 전산 지원",채용 규모/특징: 극소수. 안산 기반 중견 부품사 전산 유지보수,549,5928,dart
346,한섬,020000,14853,유통·물류,중간,혼합,"패션 유통 IT, 이커머스 운영, 보안",채용 규모/특징: 수시/정기 공채. 현대백화점 그룹 패션 전산 전문 운영,1589,7460,dart
347,대성산업,128820,14768,에너지,소규모,,"에너지/기계 전산 운영, 일반 전산 지원",채용 규모/특징: 소수. 에너지 사업 기반의 안정적인 전산직,358,5320,dart
348,지에스이앤알,,14764,에너지,소규모,,"발전/풍력 전산 시스템 운영, 보안",채용 규모/특징: 소수. GS그룹 에너지 부문의 고연봉 전산직,,10000,research
349,서희건설,035890,14736,건설·엔지니어링,,수시,"건설 ERP 운영, 본사/현장 전산 지원",채용 규모/특징: 수시 채용. 건설 현장 전산 인프라 상시 유지보수,723,7662,dart
350,포스코DX,022100,14733,IT·플랫폼,대규모,혼합,"SI/SM, 스마트 팩토리, 클라우드 운영","채용 규모/특징: 대규모 수시/공채. 포스코그룹 IT 전담사, 전산 전공자 다수 채용",2200,9877,dart
351,빙그레,005180,14630,기타,소규모,혼합,"식품 유통 전산, 인프라 보안, ERP 운영",채용 규모/특징: 소수 정기/수시. 안정적이고 보수적인 식품 전산 환경,1822,6971,dart
352,진에어,272450,14613,기타,,수시,"항공 전산 시스템, 예약 인프라 보안",채용 규모/특징: 수시 채용. 대한항공 그룹 계열 항공 전산 지원,2284,6859,dart
353,팜스토리,027710,14539,기타,극소수,,"축산/사료 전산 시스템, 일반 전산 지원",채용 규모/특징: 극소수. 이지홀딩스 계열 실무 전산 유지보수,423,6436,dart
354,다올투자증권,030210,14426,금융,,수시,"증권 전산 운영, 트레이딩 보안, 인프라",채용 규모/특징: 수시 채용. 증권업계 중급 규모 전산 조직 운영,342,13953,dart
355,강원랜드,035250,14269,기타,중간,정기,"카지노/리조트 전산 운영, 전산 보안",채용 규모/특징: 정기 공채. 공공기관. 보안 및 시스템 안정성 최우선,4930,6157,dart
356,대웅제약,069620,14227,바이오·헬스,중간,혼합,"제약 전산, DX 기획, ERP 운영, 보안",채용 규모/특징: 수시/정기 공채. '스마트 워크' 기반의 IT 친화적 문화,1757,7637,dart
357,대동,000490,14156,제조·모빌리티,,수시,"농기계 제조 IT, 스마트 팩토리 기획","채용 규모/특징: 수시 채용. 국내 농기계 1위, 제조 전산 고도화 추진 중",1022,9230,dart
358,동진쎄미켐,005290,14081,제조·모빌리티,,수시,"소재 제조 전산, MES 운영, 보안",채용 규모/특징: 수시 채용. 반도체 소재 기업으로 탄탄한 제조 전산 조직,1450,7731,dart
359,코리아써키트,007810,14070,제조·모빌리티,소규모,,"PCB 제조 전산, 일반 전산 지원",채용 규모/특징: 소수. 영풍그룹 계열 안산 소재 제조 전산직,1173,5680,dart
360,유진기업,023410,13933,기타,소규모,,"건자재 전산 시스템, ERP 운영, 인프라",채용 규모/특징: 소수. 유진그룹 핵심 계열사 전산 운영,662,7659,dart
361,한국앤컴퍼니,000240,13910,기타,소규모,,"그룹 IT 전략, 데이터 거버넌스 관리",채용 규모/특징: 소수 (지주사). 한국타이어 그룹 지주사 IT 기획 업무,1173,8072,dart
362,무림페이퍼,009200,13844,제조·모빌리티,소규모,,"제지 제조 전산, 일반 전산 지원",채용 규모/특징: 소수. 진주 공장 및 본사 전산 유지보수 업무,445,9343,dart
363,대한제분,001130,13747,기타,소규모,,"식품 제조 전산, ERP 운영, 인프라","채용 규모/특징: 소수. '곰표' 브랜드, 안정적인 전산 운영",399,7695,dart
364,대한제당,001790,13738,기타,소규모,,"식품/사료 전산 시스템, 보안, ERP",채용 규모/특징: 소수. 보수적이지만 탄탄한 전산 기반 운영,322,6511,dart
365,세방,004360,13734,유통·물류,,수시,"물류 시스템 운영, 항만 전산 인프라 지원",채용 규모/특징: 수시 채용. 종합물류 인프라 전산 유지보수 핵심,816,6902,dart
366,HL홀딩스,060980,13711,기타,소규모,,그룹 IT 전략 및 유통 전산 거버넌스,채용 규모/특징: 소수 (지주사). HL그룹(구 한라) 전산 정책 수립 및 관리,299,9774,dart
367,대원강업,000430,13676,기타,극소수,,"자동차 부품 전산, 일반 전산 지원","채용 규모/특징: 극소수. 현대차 1차 협력사, 안정적인 전산직",697,9135,dart
368,KG이니시스,035600,13543,기타,,수시,"결제 시스템(PG) 운영, 전산 보안, 서버","채용 규모/특징: 수시 채용 활발. IT 결제 전문 기업, 전산 인프라 비중 매우 높음",226,5005,dart
369,경동나비엔,009450,13539,기타,,수시,"제조 공정 IT, 스마트 홈 시스템 보안",채용 규모/특징: 수시 채용. 글로벌 수출 확대에 따른 IT 시스템 확장 중,1745,6118,dart
370,대창,012800,13369,제조·모빌리티,극소수,,"비철금속 제조 전산, 일반 전산 지원",채용 규모/특징: 극소수. 시흥 기반 제조업 전산 유지보수,334,6788,dart
371,동원시스템즈,014820,13343,제조·모빌리티,소규모,수시,"소재/패키징 제조 IT, ERP 운영",채용 규모/특징: 소수 수시 채용. 동원그룹 제조 부문 IT 인프라 지원,1705,6898,dart
372,동아쏘시오홀딩스,000640,13332,바이오·헬스,소규모,,그룹 IT 전략 및 제약 전산 감사,채용 규모/특징: 소수 (지주사). 동아제약 등 계열사 IT 거버넌스 관리,82,13039,dart
373,DB증권,016610,13185,금융,중간,혼합,"증권 전산 운영, 트레이딩 보안",채용 규모/특징: 수시/정기 공채. DB그룹 금융 부문 안정적인 전산직,792,12549,dart
374,오스템임플란트,048260,13155,바이오·헬스,대규모,수시,"덴탈 플랫폼 운영, 전산 보안, 인프라",채용 규모/특징: 수시 채용 활발. 마곡 본사 중심 대규모 IT 인력 운용 중,3043,6401,dart
375,신세계인터내셔날,031430,13086,유통·물류,중간,혼합,"패션 유통 IT, 이커머스 인프라 보안",채용 규모/특징: 수시/정기 공채. 유통/패션 테크 기반의 전산 운영 업무,1116,7326,dart
376,국도화학,007690,13058,제조·모빌리티,소규모,,"화학 제조 IT, ERP 시스템 유지보수",채용 규모/특징: 소수. 제조업 기반의 안정적인 IT 인프라 지원,883,6643,dart
377,심텍홀딩스,036710,13021,기타,극소수,,그룹 IT 전략 및 보안 가이드라인 수립,채용 규모/특징: 극소수 (지주사). 계열사 전산 정책 수립 및 가이드,25,8457,dart
378,모베이스,101330,13017,제조·모빌리티,소규모,,"전자/자동차 부품 제조 전산, 인프라",채용 규모/특징: 소수. 글로벌 제조망 연동 전산 시스템 관리,60,5613,dart
379,하림,136480,12854,제조·모빌리티,대규모,수시,"식품 생산/유통 IT, 전산 보안, ERP",채용 규모/특징: 수시 채용. 익산 기반 대규모 식품 생산 전산 지원,2454,4780,dart
380,미래에셋자산운용,,12841,금융,소규모,혼합,"자산운용 시스템 관리, 보안, 인프라","채용 규모/특징: 소수 정기/수시. 금융권 최상급 연봉, 안정적인 시스템 운영",,12000,research
381,한미사이언스,008930,12834,기타,소규모,,그룹 IT 전략 및 제약 전산 기획,채용 규모/특징: 소수 (지주사). 한미약품 계열 지주사 IT 거버넌스,453,6986,dart
382,대덕,008060,12672,기타,극소수,,지주사 IT 전략 및 제조 전산 가이드,채용 규모/특징: 극소수. 대덕전자 등 계열사 전산 감사 및 기획,11,7882,dart
383,BNK투자증권,,12650,금융,,수시,"증권 전산 운영, 지역 금융 IT 지원",채용 규모/특징: 수시 채용. 부산/경남 기반 금융 전산 인프라 관리,,10000,research
384,우리엔터프라이즈,037400,12591,기타,극소수,정기,(미확인-지주성격) 일반 전산 지원,채용 규모/특징: 극소수. 정보 부재 사유: 외부 공채 거의 없음,50,4,dart
385,하나마이크론,067310,12507,제조·모빌리티,,수시,"반도체 후공정 IT, MES 운영, 보안",채용 규모/특징: 수시 채용. 천안 기반 반도체 제조 전산 지원,801,6189,dart
386,노루홀딩스,000320,12479,기타,소규모,,그룹 IT 전략 및 도료 제조 전산 기획,채용 규모/특징: 소수. 노루페인트 등 계열사 전산 통합 관리,60,9262,dart
387,무신사,,12427,기타,대규모,수시,"이커머스 인프라 운영, 보안, 전산 기획","채용 규모/특징: 대규모 수시 채용. 컴공 전공자 선호도 높음, IT 투자 적극적",,9000,research
388,우리바이오,082850,12372,바이오·헬스,소규모,,"전자/바이오 제조 전산, 인프라 지원",채용 규모/특징: 소수. 우리이앤엘 등 계열사 통합 전산 운영,91,6187,dart
